"No.","Time","Source","Destination","Protocol","Length","Info"
"58","0.534580","10.20.5.18","224.0.0.251","MDNS","383","Standard query response 0x0000 PTR, cache flush DESKTOP-NK9OK9S._dosvc._tcp.local SRV, cache flush 0 0 7680 DESKTOP-NK9OK9S.local TXT, cache flush A, cache flush 10.20.5.18 AAAA, cache flush fdb8:316e:ba5e::4ed AAAA, cache flush fdb8:316e:ba5e:0:fe5f:ee40:b528:30b5 AAAA, cache flush fdb8:316e:ba5e:0:a043:b613:4c0b:7d31 AAAA, cache flush fe80::1e3f:5443:5666:ddb4"
"59","0.534580","fe80::1e3f:5443:5666:ddb4","ff02::fb","MDNS","403","Standard query response 0x0000 PTR, cache flush DESKTOP-NK9OK9S._dosvc._tcp.local SRV, cache flush 0 0 7680 DESKTOP-NK9OK9S.local TXT, cache flush A, cache flush 10.20.5.18 AAAA, cache flush fdb8:316e:ba5e::4ed AAAA, cache flush fdb8:316e:ba5e:0:fe5f:ee40:b528:30b5 AAAA, cache flush fdb8:316e:ba5e:0:a043:b613:4c0b:7d31 AAAA, cache flush fe80::1e3f:5443:5666:ddb4"
"60","0.534580","10.20.5.18","224.0.0.251","MDNS","319","Standard query response 0x0000 SRV, cache flush 0 0 7680 DESKTOP-NK9OK9S.local TXT, cache flush A, cache flush 10.20.5.18 AAAA, cache flush fdb8:316e:ba5e::4ed AAAA, cache flush fdb8:316e:ba5e:0:fe5f:ee40:b528:30b5 AAAA, cache flush fdb8:316e:ba5e:0:a043:b613:4c0b:7d31 AAAA, cache flush fe80::1e3f:5443:5666:ddb4"
"61","0.534827","fe80::1e3f:5443:5666:ddb4","ff02::fb","MDNS","339","Standard query response 0x0000 SRV, cache flush 0 0 7680 DESKTOP-NK9OK9S.local TXT, cache flush A, cache flush 10.20.5.18 AAAA, cache flush fdb8:316e:ba5e::4ed AAAA, cache flush fdb8:316e:ba5e:0:fe5f:ee40:b528:30b5 AAAA, cache flush fdb8:316e:ba5e:0:a043:b613:4c0b:7d31 AAAA, cache flush fe80::1e3f:5443:5666:ddb4"
"62","0.545269","JRCTOKKI_2f:e4:51","Broadcast","ARP","60","Who has 10.9.8.129? Tell 10.9.8.121"
"63","0.549907","MotionContro_5f:a7:da","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.55"
"64","0.560518","JRCTOKKI_e5:6f:40","Broadcast","ARP","60","ARP Announcement for 10.9.8.195"
"65","0.561318","JRCTOKKI_e5:6f:ef","Broadcast","ARP","60","ARP Announcement for 10.9.8.197"
"66","0.572102","JRCTOKKI_e5:6e:1a","Broadcast","ARP","60","ARP Announcement for 10.9.8.177"
"67","0.613782","192.168.20.39","192.168.20.255","NBNS","92","Name query NB ANTIVIRUS<00>"
"68","0.613782","192.168.20.39","224.0.0.251","MDNS","75","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"69","0.614393","fe80::47db:f540:c04a:a50c","ff02::fb","MDNS","95","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"70","0.614393","172.16.3.4","224.0.0.251","MDNS","85","Standard query response 0x0000 A 172.16.3.4"
"71","0.615807","192.168.20.39","224.0.0.251","MDNS","75","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"72","0.615807","fe80::47db:f540:c04a:a50c","ff02::fb","MDNS","95","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"73","0.615807","10.20.5.196","224.0.0.251","MDNS","75","Standard query 0xc6a2 PTR Antivirus.local, ""QM"" question"
"74","0.615807","172.16.3.4","224.0.0.251","MDNS","104","Standard query response 0x0000 NSEC Antivirus.local"
"75","0.616087","fe80::47db:f540:c04a:a50c","ff02::1:3","LLMNR","89","Standard query 0xcae8 A Antivirus"
"76","0.617387","192.168.20.39","224.0.0.252","LLMNR","69","Standard query 0xcae8 A Antivirus"
"77","0.617387","fe80::47db:f540:c04a:a50c","ff02::1:3","LLMNR","89","Standard query 0x41da AAAA Antivirus"
"78","0.617533","192.168.20.39","224.0.0.252","LLMNR","69","Standard query 0x41da AAAA Antivirus"
"79","0.626868","Dell_84:a2:eb","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.193"
"80","0.642836","10.9.8.194","239.255.255.250","UDP/XML","809","3702  >  3702 Len=767"
"81","0.642836","10.9.8.194","239.255.255.250","UDP/XML","809","3702  >  3702 Len=767"
"82","0.642836","fe80::9ade:d0ff:fe2e:462d","ff02::1:2","DHCPv6","176","Request XID: 0xc510ea CID: 000100012f42da4298ded02e462d IAA: fdb8:316e:ba5e::ee7 "
"83","0.646241","JRCTOKKI_a4:6d:c4","Broadcast","ARP","60","Who has 192.168.153.1? Tell 192.168.153.12"
"84","0.667995","10.20.5.186","224.0.0.251","MDNS","630","Standard query response 0x0000 PTR LAPTOP-54IK1RK4._dosvc._tcp.local SRV 0 0 7680 LAPTOP-54IK1RK4.local TXT"
"85","0.670075","10.20.5.196","224.0.0.251","MDNS","93","Standard query 0x34aa PTR LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"86","0.680061","JRCTOKKI_99:9f:be","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.57"
"87","0.681102","Sophos_be:b2:b7","Broadcast","ARP","60","Who has 192.168.20.250? Tell 192.168.20.2"
"88","0.685408","fe80::9915:2f4d:1f95:cf28","ff02::1:3","LLMNR","89","Standard query 0x1311 A Antivirus"
"89","0.685408","192.168.20.201","224.0.0.252","LLMNR","69","Standard query 0x1311 A Antivirus"
"90","0.685408","192.168.20.201","192.168.20.255","NBNS","92","Name query NB ANTIVIRUS<00>"
"91","0.687595","Dell_84:a2:ea","Broadcast","ARP","60","Who has 169.254.169.254? Tell 192.168.20.202"
"92","0.689162","fe80::5441:f84f:a338:11a5","ff02::fb","MDNS","650","Standard query response 0x0000 PTR LAPTOP-54IK1RK4._dosvc._tcp.local SRV 0 0 7680 LAPTOP-54IK1RK4.local TXT"
"93","0.689162","10.20.5.186","224.0.0.251","MDNS","93","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"94","0.689162","fe80::5441:f84f:a338:11a5","ff02::fb","MDNS","113","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"95","0.698957","TendaTechnol_2d:2d:60","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/e8:65:d4:2d:2d:60  Cost = 0  Port = 0x8001"
"96","0.701408","fe80::9915:2f4d:1f95:cf28","ff02::1:3","LLMNR","89","Standard query 0xdace AAAA Antivirus"
"97","0.701408","192.168.20.201","224.0.0.252","LLMNR","69","Standard query 0xdace AAAA Antivirus"
